Tweet,Sentiment
RT @Amy_Siskind: My heart goes out to people who voted for Trump because they believed he would save their jobs (not because they were raci…,Positive
"RT @TheSWPrincess: @JynErso_2017 Yes! As a woman of color,  I WILL call him, his administration and his party out on their racism, sexism a…",Positive
"RT @RevJJackson: Sneak Peek Today’s Press Conference on Trump’s Immigration Sh**thole Remarks, Korea, #DrKing... https://t.co/ftFrIhXfKw",Positive
"RT @KenTremendous: TRUMP: Africa is a shithole
RYAN: Well that's unfortunate
TRUMP: White people are good, black people are garbage
MCCONNE…",Positive
RT @MommaX3inCA: It is simply not worth spending any energy on politicians' salty language.  demlibs think they have struck gold &amp; their ac…,Negative
RT @LukewSavage: A fun exercise is to imagine what Liberals would be saying if Stephen Harper were still PM and was this soft on Trump http…,Positive
"RT @thehill: Dems say ""Stephen Miller ambush"" has killed bipartisan immigration deal with Trump https://t.co/cJkmyXplsT https://t.co/u4WgHl…",Negative
"RT @Stoortmcd: So, Sadiq Khan says Trump isn’t welcome in Britain because he’s “devisive” 
Well, here is Khan, in 2001, representing The Na…",Positive
RT @ChelseaClinton: https://t.co/r7emMwtRgz,Positive
Reyaksyon chokan Andre Michel fè sou TRUMP ki di ke Haiti se on tchou kk https://t.co/5SKxeqH2CP,Positive
"RT @MsPackyetti: If Congress really wants to show how outraged they are by Trump’s comments, they can pass a clean DACA fix immediately.…",Negative
"RT @RVAwonk: So... Trump may just have released a fake doctor’s note.

https://t.co/6tFjWk0F9b",Negative
"RT @UlrichJvV: Dear Donald Trump/@realDonaldTrump

I just wanted to show you the Africa I love. The land of endless possibilities. Unmatche…",Positive
RT @TomiLahren: Democrats would rather have a fierce debate over President Trump’s “mean words” than solve the actual immigration problem.…,Negative
RT @johnastoehr: 26. Many thanks for reading. Please share. The future is ours. https://t.co/xfLKHKIvnW,Positive
